MJD	sv	C1	P1	P2
60544.00000	G08	-33.25	-33.30	-32.35
60544.00000	G10	-33.14	-33.03	-32.78
60544.00000	G16	-32.95	-32.86	-32.35
60544.00000	G18	-32.63	-32.74	-33.17
60544.00000	G23	-33.48	-33.33	-32.35
60544.00000	G26	-33.15	-33.13	-33.45
60544.00000	G27	-33.04	-32.85	-33.26
60544.00000	G32	-33.64	-33.60	-32.62
60544.00347	G08	-33.11	-33.16	-32.55
60544.00347	G10	-33.05	-32.94	-32.96
60544.00347	G16	-32.76	-32.66	-33.02
60544.00347	G18	-31.91	-32.00	-32.79
60544.00347	G23	-33.04	-32.96	-32.70
60544.00347	G26	-33.03	-32.79	-32.95
60544.00347	G27	-33.10	-32.93	-33.06
60544.00347	G32	-33.20	-33.10	-33.14
60544.00694	G08	-33.05	-33.09	-32.23
60544.00694	G10	-33.24	-33.17	-33.04
60544.00694	G16	-33.53	-33.42	-32.76
60544.00694	G18	-32.27	-32.35	-33.31
60544.00694	G23	-33.66	-33.58	-32.79
60544.00694	G27	-33.33	-33.21	-32.63
60544.00694	G32	-33.00	-33.00	-33.16
60544.01042	G08	-33.64	-33.68	-33.21
60544.01042	G10	-32.91	-32.79	-33.30
60544.01042	G16	-32.88	-32.77	-32.62
60544.01042	G18	-32.49	-32.11	-33.25
60544.01042	G23	-33.00	-32.96	-32.20
60544.01042	G27	-33.00	-32.88	-33.19
60544.01042	G32	-33.50	-33.42	-31.65
60544.01389	G08	-32.93	-32.93	-32.75
60544.01389	G10	-32.93	-32.84	-33.01
60544.01389	G16	-32.82	-32.79	-31.92
60544.01389	G18	-33.28	-33.08	-33.71
60544.01389	G23	-33.07	-32.85	-32.87
60544.01389	G27	-33.27	-33.15	-33.04
60544.01389	G32	-32.76	-32.72	-33.35
60544.01736	G08	-33.65	-33.70	-33.24
60544.01736	G10	-33.28	-33.18	-32.94
60544.01736	G16	-32.44	-32.30	-32.72
60544.01736	G18	-33.81	-33.92	-33.14
60544.01736	G23	-33.46	-33.38	-33.51
60544.01736	G27	-32.84	-32.72	-33.02
60544.01736	G32	-32.77	-32.74	-32.62
60544.02083	G08	-32.91	-32.89	-33.17
60544.02083	G10	-33.47	-33.33	-32.73
60544.02083	G16	-33.51	-33.43	-33.57
60544.02083	G18	-33.41	-33.25	-31.56
60544.02083	G21	-32.90	-32.56	-32.80
60544.02083	G23	-33.57	-33.48	-33.33
60544.02083	G27	-33.20	-33.09	-32.63
60544.02083	G32	-32.90	-32.78	-32.80
60544.02431	G08	-33.89	-33.89	-32.98
60544.02431	G10	-33.37	-33.25	-33.24
60544.02431	G16	-33.01	-33.01	-33.12
60544.02431	G18	-34.18	-33.93	-33.18
60544.02431	G21	-33.41	-33.12	-33.59
60544.02431	G23	-32.38	-32.32	-32.81
60544.02431	G27	-33.33	-33.24	-33.25
60544.02431	G32	-33.26	-33.21	-32.59
60544.02778	G08	-32.85	-32.82	-32.38
60544.02778	G10	-33.29	-33.14	-33.31
60544.02778	G16	-33.59	-33.35	-31.96
60544.02778	G18	-32.52	-32.02	-32.44
60544.02778	G21	-32.90	-32.72	-31.96
60544.02778	G23	-33.75	-33.80	-33.76
60544.02778	G27	-33.05	-32.91	-32.74
60544.02778	G32	-32.86	-32.89	-32.47
60544.03125	G08	-33.50	-33.40	-32.34
60544.03125	G10	-33.26	-33.13	-32.95
60544.03125	G16	-32.10	-31.86	-33.00
60544.03125	G21	-33.25	-33.15	-31.30
60544.03125	G23	-33.65	-33.53	-34.11
60544.03125	G27	-32.87	-32.74	-32.55
60544.03125	G32	-32.89	-32.83	-32.52
60544.03472	G08	-33.23	-33.10	-32.62
60544.03472	G10	-33.53	-33.41	-32.92
60544.03472	G21	-33.07	-32.92	-33.11
60544.03472	G23	-33.31	-33.10	-31.91
60544.03472	G27	-32.95	-32.86	-32.82
60544.03472	G32	-32.78	-32.63	-32.51
60544.03819	G08	-33.60	-33.43	-32.68
60544.03819	G10	-33.24	-33.10	-32.93
60544.03819	G21	-33.23	-33.14	-33.96
60544.03819	G23	-32.63	-32.62	-31.58
60544.03819	G27	-33.15	-33.03	-32.77
60544.03819	G32	-33.46	-33.31	-32.89
60544.04167	G08	-33.20	-33.07	-32.93
60544.04167	G10	-33.04	-32.92	-32.78
60544.04167	G21	-32.97	-32.93	-32.41
60544.04167	G23	-33.17	-33.08	-33.79
60544.04167	G27	-33.33	-33.23	-33.14
60544.04167	G32	-33.06	-32.95	-32.85
60544.04514	G08	-33.34	-33.26	-32.69
60544.04514	G10	-33.12	-33.02	-33.30
60544.04514	G21	-33.12	-32.98	-32.26
60544.04514	G23	-32.82	-32.47	-34.29
60544.04514	G27	-32.96	-32.83	-32.46
60544.04514	G32	-33.19	-33.08	-32.74
60544.04861	G02	-32.25	-32.00	-32.83
60544.04861	G08	-33.10	-33.02	-32.56
60544.04861	G10	-33.00	-32.86	-32.95
60544.04861	G21	-33.54	-33.40	-32.55
60544.04861	G23	-32.46	-32.12	-32.72
60544.04861	G27	-33.40	-33.29	-33.50
60544.04861	G32	-33.39	-33.33	-32.95
60544.05208	G02	-33.77	-33.63	-32.29
60544.05208	G08	-33.21	-33.23	-32.94
60544.05208	G10	-33.16	-33.13	-32.36
60544.05208	G21	-33.60	-33.41	-33.07
60544.05208	G23	-33.17	-32.68	-34.54
60544.05208	G27	-33.20	-33.14	-32.87
60544.05208	G32	-33.08	-32.99	-32.83
60544.05556	G02	-32.88	-32.85	-33.47
60544.05556	G08	-32.89	-32.91	-33.24
60544.05556	G10	-33.52	-33.45	-32.47
60544.05556	G21	-32.91	-32.86	-32.67
60544.05556	G23	-32.13	-31.99	-32.02
60544.05556	G27	-33.24	-33.22	-32.64
60544.05556	G32	-33.33	-33.20	-33.08
60544.05903	G02	-33.39	-33.34	-33.24
60544.05903	G08	-32.94	-32.89	-33.72
60544.05903	G10	-33.60	-33.50	-33.04
60544.05903	G21	-32.52	-32.42	-32.98
60544.05903	G23	-32.79	-31.85	-31.78
60544.05903	G27	-33.08	-33.10	-33.26
60544.05903	G32	-33.25	-33.22	-32.74
60544.06250	G02	-32.97	-32.87	-33.91
60544.06250	G08	-33.23	-33.22	-32.50
60544.06250	G10	-33.60	-33.51	-32.47
60544.06250	G21	-33.04	-33.06	-32.02
60544.06250	G27	-33.52	-33.40	-32.28
60544.06250	G32	-33.09	-33.02	-32.97
60544.06597	G02	-34.12	-34.14	-32.07
60544.06597	G08	-33.12	-33.10	-33.02
60544.06597	G10	-32.99	-32.87	-32.89
60544.06597	G21	-33.29	-33.26	-33.10
60544.06597	G23	-34.12	-34.03	-32.86
60544.06597	G27	-32.84	-32.72	-32.69
60544.06597	G32	-33.51	-33.39	-32.89
60544.06944	G02	-32.93	-32.80	-33.03
60544.06944	G08	-33.05	-32.94	-32.82
60544.06944	G10	-32.87	-32.78	-33.00
60544.06944	G21	-32.18	-32.11	-32.33
60544.06944	G27	-33.83	-33.73	-32.89
60544.06944	G32	-33.38	-33.26	-32.57
60544.07292	G02	-33.28	-33.33	-32.59
60544.07292	G08	-33.05	-32.94	-33.24
60544.07292	G10	-32.82	-32.72	-32.05
