MJD	sv	E1	E5	elevation
60544.00000	E03	-110.37	-110.36	15.0
60544.00000	E07	-108.87	-110.69	28.6
60544.00000	E08	-108.68	-110.56	40.8
60544.00000	E13	-109.34	-109.96	58.7
60544.00000	E15	-109.06	-109.98	19.0
60544.00000	E21	-111.33	-111.07	33.8
60544.00000	E26	-110.15	-110.55	39.7
60544.00347	E03	-109.45	-109.60	14.4
60544.00347	E07	-110.09	-110.27	30.0
60544.00347	E08	-108.75	-110.49	41.3
60544.00347	E13	-109.88	-110.39	58.4
60544.00347	E15	-108.99	-110.73	18.3
60544.00347	E21	-110.08	-110.57	32.6
60544.00347	E26	-110.00	-110.03	40.5
60544.00694	E03	-109.25	-110.40	13.5
60544.00694	E07	-109.53	-110.64	31.9
60544.00694	E08	-109.28	-110.18	41.8
60544.00694	E13	-110.29	-110.15	57.9
60544.00694	E15	-109.40	-111.07	17.3
60544.00694	E21	-109.90	-111.24	31.1
60544.00694	E26	-108.56	-110.27	41.5
60544.01042	E03	-110.69	-110.64	12.5
60544.01042	E07	-109.23	-110.01	33.7
60544.01042	E08	-109.81	-110.14	42.3
60544.01042	E13	-109.53	-110.05	57.4
60544.01042	E15	-108.76	-110.45	16.3
60544.01042	E21	-110.19	-109.99	29.5
60544.01042	E26	-110.31	-110.47	42.5
60544.01389	E03	-110.17	-110.22	11.5
60544.01389	E07	-109.62	-110.69	35.6
60544.01389	E08	-110.54	-110.49	42.6
60544.01389	E13	-109.38	-110.38	56.9
60544.01389	E15	-109.29	-110.26	15.4
60544.01389	E21	-110.27	-110.51	27.9
60544.01389	E26	-110.50	-110.14	43.5
60544.01736	E03	-109.37	-110.01	10.5
60544.01736	E07	-109.61	-110.45	37.5
60544.01736	E08	-110.53	-110.36	42.9
60544.01736	E13	-109.73	-110.28	56.4
60544.01736	E15	-109.65	-110.34	14.4
60544.01736	E21	-110.37	-110.51	26.3
60544.01736	E26	-109.76	-110.31	44.6
60544.02083	E07	-110.33	-110.18	39.4
60544.02083	E08	-110.25	-110.21	43.0
60544.02083	E13	-109.45	-110.16	55.8
60544.02083	E15	-108.69	-110.38	13.5
60544.02083	E21	-109.31	-110.46	24.8
60544.02083	E26	-109.30	-111.00	45.7
60544.02431	E07	-108.79	-110.86	41.2
60544.02431	E08	-110.46	-109.97	43.0
60544.02431	E13	-109.41	-110.31	55.2
60544.02431	E15	-109.66	-109.38	12.5
60544.02431	E21	-109.68	-110.50	23.2
60544.02431	E26	-109.56	-110.24	46.7
60544.02778	E07	-110.73	-110.19	43.2
60544.02778	E08	-110.22	-109.81	42.8
60544.02778	E13	-109.26	-110.28	54.6
60544.02778	E15	-110.43	-110.34	11.6
60544.02778	E21	-109.28	-110.79	21.6
60544.02778	E26	-109.45	-110.21	47.8
60544.03125	E07	-109.23	-110.33	45.0
60544.03125	E08	-109.42	-110.03	42.6
60544.03125	E13	-109.41	-109.82	54.0
60544.03125	E15	-109.90	-109.95	10.6
60544.03125	E21	-110.22	-109.90	20.1
60544.03125	E26	-109.29	-110.56	48.9
60544.03472	E07	-110.12	-110.24	46.9
60544.03472	E08	-110.40	-110.01	42.2
60544.03472	E13	-109.39	-109.94	53.3
60544.03472	E15	-110.58	-110.02	10.1
60544.03472	E21	-110.50	-110.51	18.5
60544.03472	E26	-109.99	-110.39	50.0
60544.03819	E07	-109.82	-109.70	48.8
60544.03819	E08	-110.10	-110.23	41.8
60544.03819	E13	-109.28	-110.10	52.7
60544.03819	E26	-109.59	-110.90	51.2
60544.04167	E07	-110.71	-110.47	50.6
60544.04167	E08	-109.25	-110.04	41.2
60544.04167	E13	-109.79	-110.16	52.0
60544.04167	E26	-108.92	-110.28	52.3
60544.04514	E07	-109.62	-109.92	52.5
60544.04514	E08	-109.37	-110.14	40.5
60544.04514	E13	-109.74	-110.39	51.3
60544.04514	E26	-109.68	-110.11	53.4
60544.04861	E07	-109.98	-110.17	54.4
60544.04861	E08	-109.63	-110.06	39.7
60544.04861	E13	-109.89	-110.14	50.5
60544.04861	E26	-109.69	-109.83	54.7
60544.05208	E07	-109.84	-110.29	56.2
60544.05208	E08	-109.56	-110.39	38.9
60544.05208	E13	-110.03	-110.22	49.7
60544.05208	E26	-109.24	-110.04	55.9
60544.05556	E07	-109.87	-110.37	57.9
60544.05556	E08	-109.14	-110.32	37.9
60544.05556	E13	-109.52	-110.12	48.9
60544.05556	E26	-109.43	-110.23	57.1
60544.05903	E07	-109.84	-110.38	59.6
60544.05903	E08	-109.51	-110.36	36.9
60544.05903	E13	-109.94	-109.89	48.1
60544.05903	E26	-108.90	-109.73	58.3
60544.06250	E07	-110.01	-110.16	61.2
60544.06250	E08	-110.51	-109.99	35.8
60544.06250	E13	-110.21	-110.06	47.2
60544.06250	E26	-110.71	-110.19	59.6
60544.06597	E07	-109.35	-110.23	62.7
60544.06597	E08	-109.56	-110.24	34.7
60544.06597	E13	-110.45	-110.16	46.3
60544.06597	E26	-109.16	-109.91	60.8
60544.06944	E07	-109.60	-110.44	64.1
60544.06944	E08	-109.86	-110.24	33.4
60544.06944	E13	-109.75	-110.03	45.4
60544.06944	E26	-110.39	-110.41	62.1
60544.07292	E07	-109.02	-110.17	65.4
60544.07292	E08	-109.22	-110.19	32.2
60544.07292	E13	-109.37	-110.04	44.4
60544.07292	E26	-110.18	-110.42	63.4
60544.07639	E07	-109.50	-110.09	66.5
60544.07639	E08	-109.64	-110.35	30.9
60544.07639	E13	-110.21	-109.73	43.5
60544.07639	E26	-109.85	-110.55	64.6
60544.07986	E07	-109.45	-109.90	67.5
60544.07986	E08	-109.74	-110.60	29.5
60544.07986	E13	-110.59	-110.17	42.4
60544.07986	E26	-109.47	-110.37	65.9
60544.08333	E07	-109.86	-110.01	68.3
60544.08333	E08	-109.16	-110.63	28.1
60544.08333	E13	-108.96	-110.09	41.4
60544.08333	E26	-109.42	-110.39	67.2
60544.08681	E07	-109.67	-110.10	68.8
60544.08681	E08	-109.51	-110.05	26.7
60544.08681	E13	-109.49	-110.39	40.3
60544.08681	E26	-109.61	-110.52	68.5
60544.09028	E07	-109.71	-110.31	69.2
60544.09028	E08	-110.20	-110.42	25.3
60544.09028	E13	-110.56	-110.03	39.2
60544.09028	E26	-109.78	-110.07	69.7
60544.09375	E07	-109.33	-110.03	69.2
60544.09375	E08	-109.93	-110.54	23.8
60544.09375	E13	-109.58	-109.62	38.1
60544.09375	E26	-108.66	-109.99	70.9
60544.09722	E07	-109.70	-110.11	69.1
60544.09722	E08	-109.42	-110.04	22.4
60544.09722	E13	-109.35	-110.57	37.0
60544.09722	E26	-108.79	-110.49	72.1
60544.10069	E07	-109.44	-110.07	68.7
60544.10069	E08	-109.52	-110.44	20.9
60544.10069	E13	-110.78	-110.20	35.8
60544.10069	E26	-109.74	-110.22	73.2
60544.10417	E07	-109.35	-110.13	68.1
60544.10417	E08	-110.49	-110.72	19.5
60544.10417	E13	-108.51	-109.76	34.6
60544.10417	E26	-109.65	-110.01	74.1
60544.10764	E07	-109.19	-110.10	67.3
60544.10764	E08	-109.76	-110.12	18.0
60544.10764	E13	-109.31	-110.49	33.4
60544.10764	E26	-109.19	-110.09	75.0
60544.11111	E07	-108.98	-110.12	66.3
60544.11111	E08	-109.21	-110.71	16.4
60544.11111	E13	-109.18	-110.63	32.1
60544.11111	E26	-109.28	-110.15	75.8
60544.11458	E07	-109.57	-110.17	65.1
60544.11458	E08	-110.52	-110.34	14.9
60544.11458	E13	-108.72	-110.68	30.8
60544.11458	E26	-109.23	-110.20	76.4
60544.11806	E07	-109.51	-109.78	63.9
60544.11806	E08	-110.19	-110.46	13.4
60544.11806	E13	-109.99	-109.97	29.5
60544.11806	E26	-109.48	-110.00	76.8
60544.12153	E07	-109.60	-109.91	62.5
60544.12153	E08	-110.48	-110.48	11.8
60544.12153	E13	-109.18	-110.39	28.2
60544.12153	E26	-109.11	-110.11	76.9
60544.12500	E07	-109.42	-109.89	61.1
60544.12500	E08	-110.03	-108.99	10.6
60544.12500	E13	-109.62	-109.90	26.9
60544.12500	E26	-109.39	-110.04	76.8
60544.12847	E07	-109.54	-110.03	59.5
60544.12847	E13	-109.24	-110.03	25.5
60544.12847	E26	-109.53	-110.12	76.4
60544.13194	E07	-109.60	-110.13	58.0
60544.13194	E13	-109.83	-110.52	24.1
60544.13194	E19	-107.67	-110.08	17.1
60544.13194	E26	-109.66	-109.90	75.8
60544.13542	E07	-109.24	-109.94	56.4
60544.13542	E13	-109.90	-110.22	22.7
60544.13542	E19	-109.53	-109.76	18.7
