MJD	sv	C1	P1	P2	elevation
60544.00000	G08	-109.22	-109.31	-106.74	37.5
60544.00000	G10	-108.54	-108.18	-108.18	78.2
60544.00000	G16	-110.13	-109.87	-108.49	32.7
60544.00000	G18	-109.12	-109.46	-108.48	15.5
60544.00000	G23	-110.70	-110.27	-107.74	39.4
60544.00000	G26	-110.25	-110.06	-110.60	10.7
60544.00000	G27	-109.31	-108.67	-109.19	72.0
60544.00000	G32	-110.59	-110.38	-107.98	36.3
60544.00347	G32	-109.71	-109.37	-107.81	37.8
60544.00347	G27	-109.08	-108.51	-108.87	73.5
60544.00347	G26	-110.69	-110.69	-111.82	10.0
60544.00347	G23	-109.05	-108.79	-108.13	37.9
60544.00347	G10	-109.30	-109.01	-108.85	76.4
60544.00347	G18	-108.44	-108.80	-107.98	14.5
60544.00347	G16	-109.43	-109.07	-108.07	31.3
60544.00347	G08	-110.44	-110.58	-107.91	39.1
60544.00694	G23	-111.05	-110.86	-109.67	35.8
60544.00694	G32	-109.59	-109.41	-109.61	39.9
60544.00694	G27	-109.58	-109.16	-108.41	75.3
60544.00694	G08	-109.94	-110.02	-107.79	41.1
60544.00694	G16	-109.89	-109.57	-107.35	29.5
60544.00694	G10	-109.20	-108.98	-108.69	74.0
60544.00694	G18	-109.60	-109.63	-110.73	13.2
60544.01042	G08	-110.65	-110.64	-109.28	43.1
60544.01042	G10	-109.69	-109.36	-108.84	71.6
60544.01042	G16	-109.71	-109.36	-108.13	27.7
60544.01042	G18	-111.80	-111.08	-110.94	11.8
60544.01042	G23	-110.61	-110.41	-108.35	33.7
60544.01042	G27	-109.26	-108.87	-108.83	76.9
60544.01042	G32	-109.55	-109.25	-107.87	42.0
60544.01389	G23	-110.27	-109.58	-110.08	31.7
60544.01389	G32	-109.49	-109.40	-109.17	44.0
60544.01389	G27	-109.54	-109.14	-109.02	78.0
60544.01389	G16	-109.96	-109.73	-107.87	25.8
60544.01389	G08	-109.14	-109.13	-108.88	45.1
60544.01389	G18	-108.86	-108.16	-110.17	10.6
60544.01389	G10	-108.94	-108.62	-107.93	69.2
60544.01736	G27	-109.32	-108.91	-108.49	78.7
60544.01736	G23	-110.24	-110.02	-112.20	29.7
60544.01736	G32	-108.93	-108.79	-108.42	46.0
60544.01736	G10	-109.46	-109.12	-108.86	66.8
60544.01736	G08	-110.25	-110.26	-109.10	47.1
60544.01736	G16	-109.19	-108.75	-106.90	24.0
60544.02083	G10	-109.71	-109.25	-108.32	64.5
60544.02083	G16	-110.50	-110.19	-109.19	22.2
60544.02083	G21	-110.79	-109.94	-110.27	17.9
60544.02083	G23	-109.69	-109.41	-109.39	27.8
60544.02083	G27	-109.46	-109.12	-108.66	78.7
60544.02083	G32	-109.13	-108.83	-108.67	47.9
60544.02083	G08	-109.75	-109.72	-109.18	49.0
60544.02431	G23	-110.31	-110.16	-105.46	25.9
60544.02431	G32	-109.89	-109.78	-107.74	49.8
60544.02431	G27	-108.69	-108.38	-108.64	78.1
60544.02431	G21	-110.38	-109.47	-110.19	19.4
60544.02431	G10	-109.48	-109.04	-109.47	62.2
60544.02431	G08	-111.00	-111.02	-109.11	50.9
60544.02431	G16	-110.15	-109.93	-107.99	20.3
60544.02778	G08	-109.13	-109.08	-108.82	52.7
60544.02778	G10	-109.99	-109.49	-109.44	60.0
60544.02778	G16	-109.12	-108.44	-107.34	18.5
60544.02778	G21	-109.35	-108.80	-108.92	21.0
60544.02778	G23	-109.77	-109.96	-107.61	24.0
60544.02778	G27	-108.81	-108.38	-108.74	77.0
60544.02778	G32	-110.23	-110.27	-108.17	51.6
60544.03125	G32	-109.29	-109.10	-108.26	53.3
60544.03125	G27	-108.85	-108.44	-108.37	75.4
60544.03125	G23	-112.18	-111.56	-113.13	22.2
60544.03125	G08	-109.73	-109.37	-108.28	54.5
60544.03125	G16	-109.30	-108.60	-111.23	16.7
60544.03125	G10	-109.36	-108.94	-108.98	57.7
60544.03125	G21	-110.10	-109.67	-106.57	22.6
60544.03472	G23	-110.61	-110.04	-108.34	20.4
60544.03472	G32	-109.44	-109.09	-108.02	54.9
60544.03472	G27	-108.91	-108.58	-108.33	73.6
60544.03472	G21	-109.40	-108.99	-110.58	24.2
60544.03472	G08	-109.59	-109.08	-108.09	56.1
60544.03472	G10	-109.12	-108.64	-108.83	55.5
60544.03819	G08	-109.64	-109.09	-108.03	57.6
60544.03819	G10	-109.74	-109.26	-108.71	53.4
60544.03819	G21	-110.51	-110.15	-110.28	25.8
60544.03819	G23	-109.15	-109.22	-107.42	18.6
60544.03819	G27	-108.93	-108.54	-108.61	71.5
60544.03819	G32	-109.41	-108.95	-109.10	56.3
60544.04167	G27	-108.99	-108.72	-108.99	69.2
60544.04167	G23	-111.15	-110.84	-109.16	16.8
60544.04167	G21	-109.12	-108.85	-109.28	27.5
60544.04167	G32	-108.71	-108.34	-108.76	57.6
60544.04167	G10	-109.71	-109.37	-108.48	51.3
60544.04167	G08	-110.02	-109.62	-109.10	59.0
60544.04514	G32	-109.52	-109.19	-107.87	58.7
60544.04514	G23	-109.09	-107.97	-110.93	15.1
60544.04514	G21	-110.14	-109.58	-107.97	29.2
60544.04514	G27	-109.22	-108.79	-107.97	66.9
60544.04514	G10	-109.99	-109.66	-109.34	49.2
60544.04514	G08	-109.60	-109.31	-107.85	60.2
60544.04861	G02	-108.20	-107.49	-110.81	17.3
60544.04861	G08	-109.04	-108.77	-107.77	61.1
60544.04861	G10	-109.92	-109.53	-109.42	47.2
60544.04861	G21	-109.42	-108.86	-106.80	31.0
60544.04861	G23	-111.46	-110.37	-108.13	13.5
60544.04861	G27	-109.91	-109.53	-109.03	64.5
60544.04861	G32	-109.55	-109.36	-109.10	59.5
60544.05208	G32	-109.84	-109.56	-108.59	60.2
60544.05208	G23	-111.62	-110.15	-110.84	11.8
60544.05208	G27	-109.78	-109.58	-108.53	62.0
60544.05208	G21	-109.47	-108.93	-107.65	32.8
60544.05208	G08	-110.24	-110.25	-108.85	61.9
60544.05208	G10	-109.69	-109.51	-107.61	45.1
60544.05208	G02	-109.63	-109.26	-108.41	19.0
60544.05556	G32	-109.57	-109.19	-109.34	60.5
